Employee_ID,Name,Department,Salary,Experience,City,Joining_Date,Performance_Rating
1,Aryan Maharaj,Operations,402097,0,Chennai,2006-09-11,3
2,Udant Dewan,Operations,1298210,17,Hyderabad,2006-04-19,1
3,Gagan Sami,IT,1088728,7,Bengaluru,2011-07-05,3
4,Ayushman Chander,Operations,447757,0,Kolkata,2026-02-22,3
5,Viraj Tiwari,IT,1302779,13,Chennai,2008-11-10,3
6,Rushil Saini,Sales,510251,2,Delhi,2006-04-14,4
7,Saumya Mall,Marketing,1148370,12,Hyderabad,2013-07-25,3
8,Nathaniel Sami,Finance,1543096,17,Kolkata,2005-03-27,4
9,Arunima Dugal,Sales,636348,2,Chennai,2010-04-29,4
10,Gayathri Chaudry,IT,1227664,13,Delhi,2012-02-22,3
11,Lajita Chatterjee,Sales,1047972,11,Mumbai,2008-12-29,3
12,Hemangini Lalla,Operations,1625176,19,Kolkata,2004-11-25,4
13,Tripti Yadav,HR,679307,3,Mumbai,2022-06-08,3
14,Kritika Brar,Operations,338414,0,Pune,2016-03-31,3
15,Janaki Handa,Sales,939706,6,Delhi,2004-09-01,3
16,Chakradev Kari,Finance,867203,7,Chennai,2019-06-13,3
17,Fariq Kaul,Marketing,553245,0,Hyderabad,2025-11-16,4
18,Lajita Mall,Finance,732165,3,Hyderabad,2017-12-08,2
19,Janya Gaba,IT,804178,4,Pune,2006-08-14,4
20,Isha Kadakia,Marketing,1246256,12,Hyderabad,2004-07-19,3
21,Ekbal Garg,Marketing,1870965,21,Mumbai,2002-03-20,4
22,Nihal Shere,Sales,538588,1,Chennai,2016-12-16,3
23,Anamika Kanda,Operations,936568,8,Kolkata,2013-07-07,5
24,Daksh Karnik,Operations,1105987,10,Chennai,2015-02-01,2
25,Diya Rattan,HR,434975,0,Hyderabad,2025-11-23,1
26,Dominic Kakar,Sales,573837,3,Kolkata,2015-06-30,5
27,Simon Tata,IT,639645,0,Pune,2023-07-02,2
28,Tara Dhar,Operations,522011,1,Pune,2023-01-08,4
29,Liam Koshy,HR,431714,0,Hyderabad,2025-11-21,5
30,Priya Rastogi,Operations,882067,7,Bengaluru,2018-06-14,3
31,Theodore Devi,IT,645207,0,Chennai,2016-11-12,3
32,Gavin Batta,IT,1498595,20,Bengaluru,2004-11-19,5
33,Michael Dutta,Sales,1287769,16,Mumbai,2004-11-16,3
34,Devansh Rajan,Marketing,1673765,18,Chennai,2007-08-20,4
35,Upadhriti Wadhwa,Finance,767276,3,Hyderabad,2010-03-29,3
36,Advay Contractor,Finance,621299,0,Mumbai,2022-08-25,2
37,Harini Choudhury,Finance,553371,1,Chennai,2016-12-02,3
38,Radhika Dugar,HR,525402,1,Chennai,2020-08-16,4
39,Aarush Lall,IT,706093,4,Mumbai,2021-07-30,5
40,Yashica Cherian,IT,959682,7,Hyderabad,2005-11-19,3
41,Yashica Issac,Finance,737655,5,Hyderabad,2004-04-30,3
42,Kashvi Edwin,Finance,1048447,6,Pune,2014-06-30,3
43,Ekiya Suresh,Operations,459002,1,Chennai,2023-07-13,5
44,Isaac Patil,Marketing,482209,0,Bengaluru,2026-01-08,2
45,Wriddhish Bhardwaj,Finance,565226,2,Kolkata,2024-04-03,2
46,Farhan Chada,HR,1424296,19,Pune,2004-10-09,3
47,Ekapad Walia,IT,1090747,9,Kolkata,2012-09-28,2
48,Kabir Soman,Operations,437089,1,Mumbai,2025-02-24,4
49,Alka Wable,HR,821807,6,Mumbai,2013-08-12,3
50,Siddharth Zacharia,Sales,532833,0,Kolkata,2004-12-14,5
51,Devika Rastogi,IT,569520,0,Chennai,2025-10-25,5
52,Raksha Varughese,IT,813042,5,Hyderabad,2012-08-28,4
53,Jai Kota,Operations,1066519,9,Bengaluru,2015-04-09,4
54,Devansh Nigam,Marketing,919143,10,Delhi,2015-02-17,2
55,Victor Kannan,IT,573860,0,Kolkata,2026-07-08,3
56,Ekavir Bhargava,Sales,990553,8,Delhi,2010-10-31,5
57,Ekansh Balay,IT,1750110,20,Bengaluru,2005-11-03,1
58,Ekavir Varkey,HR,604400,2,Kolkata,2013-06-13,4
59,Arya Sunder,Marketing,723541,3,Chennai,2002-02-18,3
60,Kevin Solanki,Sales,403409,0,Bengaluru,2026-06-26,3
61,Urvashi Ray,IT,767459,3,Mumbai,2017-10-01,2
62,Girindra Chatterjee,Marketing,718747,4,Chennai,2019-12-06,4
63,Irya Sampath,HR,543085,0,Delhi,2020-03-12,4
64,Unni Bhagat,Finance,834699,4,Bengaluru,2012-10-30,3
65,Darsh Rau,IT,672204,1,Delhi,2022-10-24,3
66,Ikbal Kothari,HR,400627,0,Hyderabad,2011-09-13,3
67,Ranveer Yadav,IT,963637,5,Hyderabad,2014-03-22,4
68,Logan Sami,Marketing,468475,0,Chennai,2016-07-21,3
69,Arya Shere,Sales,677562,3,Delhi,2003-06-01,4
